ORGANIZATION,PROGRAM,DESCRIPTION,YTD AMOUNT,QTD AMOUNT                                                                                                                                                                                                    
2024 HON. JASON SMITH,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,24804.66,12929.66
2024 HON. JASON SMITH,INTERN ALLOWANCES,OFFICE TOTALS:,24804.66,12929.66
2024 HON. LLOYD SMUCKER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,6322,2369.8
2024 HON. LLOYD SMUCKER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,589872.23,298250.01
2024 HON. LLOYD SMUCKER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14535.93,8843.97
2024 HON. LLOYD SMUCKER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,34023.71,12749.95
2024 HON. LLOYD SMUCKER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,36640.4,25862.4
2024 HON. LLOYD SMUCKER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23985.53,11113.74
2024 HON. LLOYD SMUCKER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6069.46,1393.99
2024 HON. LLOYD SMUCKER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4087,3397
2024 HON. LLOYD SMUCKER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,715536.26,363980.86
2024 HON. LLOYD SMUCKER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,715536.26,363980.86
2024 HON. LLOYD SMUCKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17906.67,8626.67
2024 HON. LLOYD SMUCKER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17906.67,8626.67
2024 HON. LLOYD SMUCKER,INTERN ALLOWANCES,OFFICE TOTALS:,17906.67,8626.67
2024 HON. ERIC SORENSEN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,52713.77,-64.65
2024 HON. ERIC SORENSEN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,664181.86,346948.57
2024 HON. ERIC SORENSEN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21849.15,16280.6
2024 HON. ERIC SORENSEN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,10056.57,6222.34
2024 HON. ERIC SORENSEN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1166.94,1166.94
2024 HON. ERIC SORENSEN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5139.18,4139.18
2024 HON. ERIC SORENSEN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6823.27,3678.12
2024 HON. ERIC SORENSEN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2865.73,-1673.98
2024 HON. ERIC SORENSEN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,764796.47,376697.12
2024 HON. ERIC SORENSEN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,764796.47,376697.12
2024 HON. ERIC SORENSEN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,27200,15900
2024 HON. ERIC SORENSEN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,27200,15900
2024 HON. ERIC SORENSEN,INTERN ALLOWANCES,OFFICE TOTALS:,27200,15900
2024 HON. DARREN SOTO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,308.62,216.14
2024 HON. DARREN SOTO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,749306.65,403046.76
2024 HON. DARREN SOTO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24968.13,10724.92
2024 HON. DARREN SOTO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,89424,44219.26
2024 HON. DARREN SOTO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,7704.69,7102.19
2024 HON. DARREN SOTO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,18489.72,10676.12
2024 HON. DARREN SOTO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8560.95,4045.83
2024 HON. DARREN SOTO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4032.98,1233
2024 HON. DARREN SOTO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,902795.74,481264.22
2024 HON. DARREN SOTO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,902795.74,481264.22
2024 HON. DARREN SOTO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20725.1,8808.98
2024 HON. DARREN SOTO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20725.1,8808.98
2024 HON. DARREN SOTO,INTERN ALLOWANCES,OFFICE TOTALS:,20725.1,8808.98
2024 HON. ABIGAIL DAVIS SPANBERGER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,75.27,64.1
2024 HON. ABIGAIL DAVIS SPANBERGER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,695793.82,362801.62
2024 HON. ABIGAIL DAVIS SPANBERGER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17113.76,11709.74
2024 HON. ABIGAIL DAVIS SPANBERGER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,39500.15,37588.43
2024 HON. ABIGAIL DAVIS SPANBERGER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,73388.05,29015.54
2024 HON. ABIGAIL DAVIS SPANBERGER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6293.76,152.18
2024 HON. ABIGAIL DAVIS SPANBERGER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4662.2,2191.17
2024 HON. ABIGAIL DAVIS SPANBERGER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4148.4,3008.95
2024 HON. ABIGAIL DAVIS SPANBERGER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,840975.41,446531.73
2024 HON. ABIGAIL DAVIS SPANBERGER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,840975.41,446531.73
2024 HON. ABIGAIL DAVIS SPANBERGER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,22435.67,9542
2024 HON. ABIGAIL DAVIS SPANBERGER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,22435.67,9542
2024 HON. ABIGAIL DAVIS SPANBERGER,INTERN ALLOWANCES,OFFICE TOTALS:,22435.67,9542
2024 HON. VICTORIA SPARTZ,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,80039.68,41419.51
2024 HON. VICTORIA SPARTZ,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,443616.15,213080.57
2024 HON. VICTORIA SPARTZ,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,50978.44,29593.88
2024 HON. VICTORIA SPARTZ,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,9495.67,6065.81
2024 HON. VICTORIA SPARTZ,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,102278.3,726.5
2024 HON. VICTORIA SPARTZ,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3231.42,1276.42
2024 HON. VICTORIA SPARTZ,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8302.66,4822.47
2024 HON. VICTORIA SPARTZ,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2464.54,1963.54
2024 HON. VICTORIA SPARTZ,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,700406.86,298948.7
2024 HON. VICTORIA SPARTZ,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,700406.86,298948.7
2024 HON. VICTORIA SPARTZ,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17303.33,6836.67
2024 HON. VICTORIA SPARTZ,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17303.33,6836.67
2024 HON. VICTORIA SPARTZ,INTERN ALLOWANCES,OFFICE TOTALS:,17303.33,6836.67
2024 HON. MELANIE ANN STANSBURY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,41.51,4.77
2024 HON. MELANIE ANN STANSBURY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,738118.69,385136.83
2024 HON. MELANIE ANN STANSBURY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,68937,62883.34
2024 HON. MELANIE ANN STANSBURY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,30010.11,25275.43
2024 HON. MELANIE ANN STANSBURY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,37846.61,37505.61
2024 HON. MELANIE ANN STANSBURY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,18154.64,11942.66
2024 HON. MELANIE ANN STANSBURY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10186.75,7639.12
2024 HON. MELANIE ANN STANSBURY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,864,432
2024 HON. MELANIE ANN STANSBURY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,904159.31,530819.76
2024 HON. MELANIE ANN STANSBURY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,904159.31,530819.76
2024 HON. MELANIE ANN STANSBURY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18970.83,9983.33
2024 HON. MELANIE ANN STANSBURY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18970.83,9983.33
2024 HON. MELANIE ANN STANSBURY,INTERN ALLOWANCES,OFFICE TOTALS:,18970.83,9983.33
2024 HON. GREG STANTON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,135.03,97.63
2024 HON. GREG STANTON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,643836.28,318000.06
2024 HON. GREG STANTON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,37694.95,19411.44
2024 HON. GREG STANTON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,12793.78,9253.62
2024 HON. GREG STANTON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,31462.7,30929.4
2024 HON. GREG STANTON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,753.08,749.93
2024 HON. GREG STANTON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5896.28,2005.61
2024 HON. GREG STANTON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,145.16,0
2024 HON. GREG STANTON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,732717.26,380447.69
2024 HON. GREG STANTON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,732717.26,380447.69
2024 HON. GREG STANTON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,21233.32,9304.15
2024 HON. GREG STANTON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,21233.32,9304.15
2024 HON. GREG STANTON,INTERN ALLOWANCES,OFFICE TOTALS:,21233.32,9304.15
2024 HON. PETE STAUBER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,44856.9,27980.92
2024 HON. PETE STAUBER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,657949.44,333558.33
2024 HON. PETE STAUBER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,47515.4,28361.38
2024 HON. PETE STAUBER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,28842.05,18821.82
2024 HON. PETE STAUBER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,54772.76,36071.44
2024 HON. PETE STAUBER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12388.4,6024.65
2024 HON. PETE STAUBER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15115.8,3642.64
2024 HON. PETE STAUBER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,861440.75,454461.18
2024 HON. PETE STAUBER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,861440.75,454461.18
2024 HON. PETE STAUBER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,27785,16661.67
2024 HON. PETE STAUBER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,27785,16661.67
2024 HON. PETE STAUBER,INTERN ALLOWANCES,OFFICE TOTALS:,27785,16661.67
2024 HON. MICHELLE STEEL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,18502.17,9955.62
2024 HON. MICHELLE STEEL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,530309.64,261102.73
2024 HON. MICHELLE STEEL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,31932.66,19048.74
2024 HON. MICHELLE STEEL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14007.18,6807.92
2024 HON. MICHELLE STEEL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,33355.41,15610.36
2024 HON. MICHELLE STEEL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6106.5,1043.4
2024 HON. MICHELLE STEEL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12329.09,5021.03
2024 HON. MICHELLE STEEL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4623.33,912
2024 HON. MICHELLE STEEL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,651165.98,319501.8
2024 HON. MICHELLE STEEL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,651165.98,319501.8
2024 HON. MICHELLE STEEL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14471.88,7646.88
2024 HON. MICHELLE STEEL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14471.88,7646.88
2024 HON. MICHELLE STEEL,INTERN ALLOWANCES,OFFICE TOTALS:,14471.88,7646.88
2024 HON. ELISE M. STEFANIK,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,13740.47,7456.64
2024 HON. ELISE M. STEFANIK,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,663629.91,351433.31
2024 HON. ELISE M. STEFANIK,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,58254.65,28410.96
2024 HON. ELISE M. STEFANIK,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,30634.65,21286.96
2024 HON. ELISE M. STEFANIK,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,36994.98,28625
2024 HON. ELISE M. STEFANIK,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1329.25,1329.25
2024 HON. ELISE M. STEFANIK,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,21989.68,5439.01
2024 HON. ELISE M. STEFANIK,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6123.34,4698.46
2024 HON. ELISE M. STEFANIK,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,832696.93,448679.59
2024 HON. ELISE M. STEFANIK,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,832696.93,448679.59
2024 HON. ELISE M. STEFANIK,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15699.99,8449.99
2024 HON. ELISE M. STEFANIK,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,15699.99,8449.99
2024 HON. ELISE M. STEFANIK,INTERN ALLOWANCES,OFFICE TOTALS:,15699.99,8449.99
2024 HON. BRYAN STEIL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,50990.56,50807.93
2024 HON. BRYAN STEIL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,551877.74,279974.96
2024 HON. BRYAN STEIL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24775.98,15865.4
2024 HON. BRYAN STEIL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,31677.18,27187.31
2024 HON. BRYAN STEIL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,105937.07,105647.07
2024 HON. BRYAN STEIL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,245.39,245.39
2024 HON. BRYAN STEIL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9818.36,9090.59
2024 HON. BRYAN STEIL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1212,606
2024 HON. BRYAN STEIL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,776534.28,489424.65
2024 HON. BRYAN STEIL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,776534.28,489424.65
2024 HON. BRYAN STEIL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18786.67,10786.67
2024 HON. BRYAN STEIL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18786.67,10786.67
2024 HON. BRYAN STEIL,INTERN ALLOWANCES,OFFICE TOTALS:,18786.67,10786.67
2024 HON. W. GREGORY STEUBE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,19942.77,19845.49
2024 HON. W. GREGORY STEUBE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,618316.77,323250.06
2024 HON. W. GREGORY STEUBE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,23577.69,16781.17
2024 HON. W. GREGORY STEUBE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,57057.63,40943.49
2024 HON. W. GREGORY STEUBE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,78126.77,50949.45
2024 HON. W. GREGORY STEUBE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,25318.78,12015
2024 HON. W. GREGORY STEUBE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10438.42,7670.25
2024 HON. W. GREGORY STEUBE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,22024.42,20016.91
2024 HON. W. GREGORY STEUBE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,854803.25,491471.82
2024 HON. W. GREGORY STEUBE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,854803.25,491471.82
2024 HON. W. GREGORY STEUBE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,23976.5,13231.9
2024 HON. W. GREGORY STEUBE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,23976.5,13231.9
2024 HON. W. GREGORY STEUBE,INTERN ALLOWANCES,OFFICE TOTALS:,23976.5,13231.9
2024 HON. HALEY M. STEVENS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,278.25,160.65
2024 HON. HALEY M. STEVENS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,768198.4,392161.14
2024 HON. HALEY M. STEVENS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,36205.21,25546.81
2024 HON. HALEY M. STEVENS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,23057.08,8232.7
2024 HON. HALEY M. STEVENS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1300.28,488.78
2024 HON. HALEY M. STEVENS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,94.13,72.93
2024 HON. HALEY M. STEVENS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8722.72,4898.29
2024 HON. HALEY M. STEVENS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4079.34,561
2024 HON. HALEY M. STEVENS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,841935.41,432122.3
2024 HON. HALEY M. STEVENS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,841935.41,432122.3
2024 HON. HALEY M. STEVENS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17591.67,9291.67
2024 HON. HALEY M. STEVENS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17591.67,9291.67
2024 HON. HALEY M. STEVENS,INTERN ALLOWANCES,OFFICE TOTALS:,17591.67,9291.67
2024 HON. MARILYN STRICKLAND,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,11058.7,11107.9
2024 HON. MARILYN STRICKLAND,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,666609.98,341228.89
2024 HON. MARILYN STRICKLAND,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,32103.76,21510.02
2024 HON. MARILYN STRICKLAND,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,45600.96,28266.54
2024 HON. MARILYN STRICKLAND,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,106666.72,90692.86
2024 HON. MARILYN STRICKLAND,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23022.99,11552
2024 HON. MARILYN STRICKLAND,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14406.66,4727.65
2024 HON. MARILYN STRICKLAND,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4959.48,4293.84
2024 HON. MARILYN STRICKLAND,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,904429.25,513379.7
2024 HON. MARILYN STRICKLAND,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,904429.25,513379.7
2024 HON. MARILYN STRICKLAND,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14616.67,6090
2024 HON. MARILYN STRICKLAND,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14616.67,6090
2024 HON. MARILYN STRICKLAND,INTERN ALLOWANCES,OFFICE TOTALS:,14616.67,6090
2024 HON. DALE W. STRONG,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,36287.22,36209.61
2024 HON. DALE W. STRONG,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,631273.86,349241.65
2024 HON. DALE W. STRONG,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,38229.8,28689.1
2024 HON. DALE W. STRONG,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,44949.05,28070.6
2024 HON. DALE W. STRONG,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,57359.29,29532.07
2024 HON. DALE W. STRONG,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,371,0
2024 HON. DALE W. STRONG,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11018.56,10310.49
2024 HON. DALE W. STRONG,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2823.88,750
2024 HON. DALE W. STRONG,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,822312.66,482803.52
2024 HON. DALE W. STRONG,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,822312.66,482803.52
2024 HON. DALE W. STRONG,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13391.66,10011.66
2024 HON. DALE W. STRONG,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,13391.66,10011.66
2024 HON. DALE W. STRONG,INTERN ALLOWANCES,OFFICE TOTALS:,13391.66,10011.66
2024 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,9.2,20.9
2024 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,349450.82,283300
2024 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,6419.77,5484.47
2024 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,25817.73,18898.3
2024 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5695,5655
2024 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,8050.19,5940
2024 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,48134.93,45569.29
2024 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,906,906
2024 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,444483.64,365773.96
2024 HON. THOMAS R SUOZZI,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,444483.64,365773.96
2024 HON. THOMAS R SUOZZI,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5189.99,5189.99
2024 HON. THOMAS R SUOZZI,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5189.99,5189.99
2024 HON. THOMAS R SUOZZI,INTERN ALLOWANCES,OFFICE TOTALS:,5189.99,5189.99
2024 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,166.57,101.39
2024 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,656216.69,324872.21
2024 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,36480.32,30607.37
2024 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,29780.54,25253.89
2024 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1179.5,944.5
2024 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17401.36,11821.36
2024 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8835.76,3492.14
2024 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,822,411
2024 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,750882.74,397503.86
2024 HON. ERIC SWALWELL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,750882.74,397503.86
2024 HON. ERIC SWALWELL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,26800,16733.34
2024 HON. ERIC SWALWELL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,26800,16733.34
2024 HON. ERIC SWALWELL,INTERN ALLOWANCES,OFFICE TOTALS:,26800,16733.34
2024 HON. EMILIA STRONG SYKES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,51850.25,47825.65
2024 HON. EMILIA STRONG SYKES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,547175.25,286880.78
2024 HON. EMILIA STRONG SYKES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,31698.5,21782.09
